,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
91,917601098,False,finalized,3,3/27/2016 22:00:14,affected_people,1.0,,'460626487675064321',"RT @GottaLaff: CNN breaking: 1st US case of MERS-CoV reportd in Indiana, per Centers for Disease Control &amp; Prevention ( Mid East RespiratryÃ¢â¬Â¦"
92,917600927,False,finalized,3,3/27/2016 19:22:28,affected_people,0.6575,,'460585456686477312',2 health care workers exposed to MERS patient had flu-like symptoms--but they're okay http://t.co/9psSt2QtnT #health #mers #globalmed @cnn
93,917600816,False,finalized,3,3/27/2016 21:52:28,affected_people,1.0,,'460580260354879488',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirme... http://t.co/HKvHBa54kj #income
100,917600745,False,finalized,3,3/28/2016 00:11:56,affected_people,1.0,,'460577782796255233',2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/9aWDUv24EI
103,917600391,False,finalized,3,3/27/2016 18:22:33,affected_people,1.0,,'460558124496465920',"Ã¢â¬Å@PzFeed: Patient in Florida confirmed as 2nd imported U.S. case of MERS, Centers for Disease Control and Prevention says - @BNONewsÃ¢â¬Â nice"
106,917599471,False,finalized,4,3/27/2016 13:24:29,affected_people,1.0,,'460415140069126144',Saudi Arabia finds another 32 MERS cases as disease spreads: RIYADH (Reuters) - Saudi Arabia said on Thursday ... http://t.co/SWfc35XlKT
108,917601038,False,finalized,3,3/27/2016 20:44:59,affected_people,0.6818,,'460604611343048704',2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/efgu0M3piF
110,917599397,False,finalized,3,3/27/2016 10:27:26,affected_people,1.0,,'460405737190346752',2 health care workers exposed to MERS patient had flu-like symptoms  #news
114,917601234,False,finalized,3,3/27/2016 19:01:48,affected_people,0.6749,,'460664541274050561',"RT @WFTV: JUST IN: Two team members from Dr. P. Phillips Hospital with symptoms of #MERS have tested NEGATIVE for the virus, officials confÃ¢â¬Â¦"
119,917599516,False,finalized,4,3/27/2016 17:12:40,affected_people,0.722,,'460421897348739072',1st confirmed human-to-human transmission of MERS within US: Illinois man contracts coronavirus from Indiana patient. http://t.co/SULMKML9f3
123,917599739,False,finalized,4,3/27/2016 17:45:22,affected_people,0.5067,,'460454559295746048',Employees at 2 Florida hospitals being monitored for MERS symptoms http://t.co/yLFZibi1Km
125,917600096,False,finalized,3,3/27/2016 12:14:07,affected_people,0.6536,,'460509432636792832',"""The first U.S. case of MERS-CoV has been reported in Indiana, the Centers for Disease Control and Prevention says."" via @cnnbrk"
127,917599388,False,finalized,3,3/27/2016 10:23:51,affected_people,0.6749,,'460404220437344257',RT @CBIC: RT @CIDRAP Official: US #MERS patient's first symptoms preceded travel http://t.co/89F6VQxisC #infectioncontrol #publichealth
129,917599748,False,finalized,3,3/27/2016 10:38:06,affected_people,1.0,,'460456319141421057',Mashable: Third Case of MERS Confirmed in the U.S. - The U.S. Centers for Disease Control and Prevention confirmed... http://t.co/5m5juMqGdE
130,917599845,False,finalized,4,3/27/2016 12:08:14,affected_people,1.0,,'460465643146706944',First Case of Deadly Middle Eastern Virus Found in U.S.: The Center for Disease Control has confirmed that a c... http://t.co/6Jjxcv8UGG
132,917601155,False,finalized,3,3/28/2016 00:36:15,affected_people,1.0,,'460641200585064448',2 providers develop flu like symptoms after being exposed to MERS patient in Florida
134,917600930,False,finalized,3,3/27/2016 22:00:14,affected_people,1.0,,'460585550089420800',RT @HelenBranswell: .@WHO confirms 2nd Netherlands #MERS case. Mild symptoms; didn't seek care. Detected thru contact tracing of 1st case hÃ¢â¬Â¦
141,917599411,False,finalized,4,3/27/2016 17:43:47,affected_people,0.7551,,'460406798349250560',Saudi Arabia finds another 18 MERS cases as disease spreads: Saudi Arabia has identified 18 new cases of Middl... http://t.co/tdI7DOrXJz
142,917601053,False,finalized,3,3/27/2016 21:12:30,affected_people,1.0,,'460608186446131200',#insurance Saudi Arabia finds another 18 MERS cases as disease spreads http://t.co/w7dTp0kurT #insurancenews
145,917600322,False,finalized,4,3/27/2016 12:21:40,affected_people,0.7522,,'460540519266123777',RT @manseydoll: Centers for Disease Control confirms first U.S. case of deadly MERS virus http://t.co/RPQNJJiXQl
146,917599363,False,finalized,3,3/27/2016 11:08:05,affected_people,1.0,,'460400481089515520',"Newest US #MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... http://t.co/8vbnmdMN1r"
147,917601015,False,finalized,3,3/27/2016 19:01:48,affected_people,1.0,,'460598850399387649',A second case of new infectious respiratory disease #MERS shows up in the U.S.ATC at 5:06  on  http://t.co/1vAegasIAG
148,917600142,False,finalized,3,3/27/2016 16:36:13,affected_people,1.0,,'460514007599030273',RT @CMichaelGibson: Saudi Arabia finds another 32 #MERS cases as disease spreads | Reuters http://t.co/pPqzgvw8xg
149,917600100,False,finalized,5,3/27/2016 12:54:18,affected_people,0.8185,,'460510435213455360',Another 18 MERS Cases Identified In Saudi Arabia As Disease Spreads http://t.co/p81E9K2nzr #USA
152,917600977,False,finalized,3,3/27/2016 21:19:24,affected_people,1.0,,'460590696802820096',Second MERS case confirmed in Netherlands:  May 2014 Ã¢â¬â DISEASE Ã¢â¬â A second case of the potentially deadly MERS ... http://t.co/HZ3EaGLYAx
160,917601040,False,finalized,3,3/27/2016 20:38:59,affected_people,1.0,,'460604778633265152',CDC: First Case of Potentially Deadly MERS Disease in the U.S. http://t.co/J6jqjCluYX
167,917600207,False,finalized,6,3/27/2016 12:28:20,affected_people,1.0,,'460522085895647232',MYSTERIOUS DISEASE  CDC confirms first case of MERS virus in an American: VIDEO: CDC announces the first case ... http://t.co/x3Pi7Lal1s
168,917601027,False,finalized,3,3/27/2016 23:15:51,affected_people,0.6538,,'460601808231333888',RT @PYHDrDnK: 26 more cases of #MERS - #MiddleEastRespiratorySyndrome. Still do not know how the disease is transmitted. More@ http://t.co/Ã¢â¬Â¦
171,917600453,False,finalized,4,3/27/2016 12:08:14,affected_people,1.0,,'460561926070607872',MYSTERIOUS DISEASE  CDC confirms first case of MERS virus in an American: VIDEO: CDC announces the first case ... http://t.co/oDRL3xWkgZ
174,917600741,False,finalized,3,3/27/2016 21:52:28,affected_people,0.6944,,'460577703754600448',Healthcare Workers Exposed To Florida MERS Patient Show Symptoms Of Infection http://t.co/anG0aKi8YA via @bi_contributors
175,917600130,False,finalized,3,3/27/2016 17:55:34,affected_people,1.0,,'460513282667732992',The first case of MERS disease ever in the US is 2 cities over.. And I was in the historical he went to last week.. #great
177,917599973,False,finalized,4,3/27/2016 12:34:07,affected_people,0.7547,,'460489662935465984',Saudi Arabia finds another 32 MERS cases as disease spreads: RIYADH (Reuters) - Saudi Arabia said on T... http://t.co/mZP8Axdc3z #health
178,917600550,False,finalized,3,3/27/2016 23:58:21,affected_people,1.0,,'460564422466236416',"""The first U.S. case of MERS-CoV has been reported in Indiana, the Centers for Disease Control and Prevention says."" via @cnnbrk"
181,917599672,False,finalized,3,3/27/2016 09:42:55,affected_people,1.0,,'460446209304313856',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/qmEOaUSDL7
185,917601152,False,finalized,3,3/27/2016 19:59:53,affected_people,1.0,,'460639907745386496',#OyeAhoraDike 2 in Florida Show Symptoms of Deadly Middle Eastern Virus: Two healthcare wor... http://t.co/NU79zIwtbO #AunNoPuedoCreerlo
188,917601115,False,finalized,3,3/27/2016 20:27:29,affected_people,1.0,,'460630527654248448',DTN Military News: US Confirms First MERS Case: The U.S. Centers for Disease Control has confirmed the first c... http://t.co/a3vzvmleCH
191,917600437,False,finalized,5,3/27/2016 13:04:48,affected_people,0.5899,,'460561614505136128',"MERS patient has no symptoms, released from Indiana hospital - Chicago Sun-Times http://t.co/v9lqG7jj9B"
193,917601165,False,finalized,3,3/27/2016 22:48:52,affected_people,1.0,,'460645415184908288',RT @HelenBranswell: 1st US #MERS case seems to have infected a business contact in Indiana. First detected onward transmission in US. @CDCgÃ¢â¬Â¦
195,917599965,False,finalized,4,3/27/2016 12:53:40,affected_people,0.7457,,'460487381548670976',RT @Ethan_Booker: [afflicted with Coronavirus and Lyme disease] ahhhh refreshing
196,917599526,False,finalized,3,3/27/2016 10:04:26,affected_people,1.0,,'460424679900348416',Saudi Arabia says total number of MERS disease cases has nearly doubled in April with 26 more infections reported... http://t.co/KNFhlfQbhY
199,917600709,False,finalized,3,3/27/2016 20:17:45,affected_people,0.6562,,'460577124508643328',RT @Larryputt: RT @Larryputt:  2 health care workers exposed to MERS patient had flu-like symptoms Doctor Not Sure Of Cause? http://t.co/TtÃ¢â¬Â¦
205,917599648,False,finalized,4,3/27/2016 13:21:15,affected_people,1.0,,'460440144915353600',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/4z78Xp2SHK
212,917600411,False,finalized,3,3/27/2016 12:35:57,affected_people,0.677,,'460561155912896513',@3ajel_news the transmission of Coronavirus is zoonotic based
215,917599798,False,finalized,4,3/27/2016 10:21:35,affected_people,1.0,,'460463845564497920',First Case of Deadly Middle Eastern Virus Found in U.S.: The Center for Disease Control has ... http://t.co/hFaySgEvpk #AndroidPortfolio
216,917599697,False,finalized,6,3/27/2016 17:34:36,affected_people,0.6306,,'460448897950044160',MERS Mystery: Disease Detectives Search for Infected Travelers http://t.co/ulSIn9EW7Y  #medical #health
221,917600404,False,finalized,3,3/27/2016 16:36:13,affected_people,0.6506,,'460560566168190976',RT @BigBoi: RT .@rawdawgbuffalo: Two hospital workers showing signs of deadly MERS virus in Florida http://t.co/j3h5bek5Se
222,917600748,False,finalized,3,3/27/2016 22:14:48,affected_people,1.0,,'460577824806412288',"Seems to me third US #MERS case is not really a case: he was infected with the MERS-coronavirus, but had no symptoms http://t.co/q9gpwZPvEx"
224,917601194,False,finalized,3,3/27/2016 19:26:01,affected_people,1.0,,'460653414595440640',"Newest US #MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... http://t.co/8vbnmdMN1r"
226,917600144,False,finalized,4,3/27/2016 12:55:42,affected_people,0.5048,,'460514080332480512',RT @FoxNews: Deadly respiratory disease MERS spreads to Iran http://t.co/6aahmYYlCk via @LisaDaftari
230,917599650,False,finalized,4,3/27/2016 10:00:36,affected_people,0.7634,,'460440663423975424',2 in Florida Show Symptoms of Deadly Middle Eastern Virus: Two healthcare workers at an Orlando-area hospital ... http://t.co/KROmlw1gsU
232,917600762,False,finalized,3,3/27/2016 19:59:53,affected_people,0.6783,,'460577940011380736',First Case of Deadly Middle Eastern Virus Found in U.S.: The Center for Disease Control has confirmed that a c... http://t.co/pj7OhDeT3Z
237,917599682,False,finalized,4,3/27/2016 10:17:11,affected_people,0.7857,,'460447447417114624',(#Yeremiito21) First Case of Deadly Middle Eastern Virus Found in U.S.: The Center for Disease ... http://t.co/qVAVrtX3c2 (#Yeremiito21)
238,917599752,False,finalized,3,3/27/2016 10:52:05,affected_people,0.6759,,'460456337621520384',First Case of Deadly Middle Eastern Virus Found in U.S.: The Centers for Disease Control has confirmed that a ... http://t.co/nloDyT8ldQ
240,917600851,False,finalized,3,3/27/2016 20:17:45,affected_people,1.0,,'460582718804205569',Saudi Arabia finds another 18 MERS cases as disease spreads: RIYADH (Reuters) - Saudi Arabia has identified 18... http://t.co/TE2rhAj4ec
242,917600223,False,finalized,3,3/27/2016 17:27:42,affected_people,0.7044,,'460524191163224065',#ReutersWorldNews Saudi Arabia finds another 18 MERS cases as disease spreads: RIYADH (Reuters) - Saudi Arabia... http://t.co/gu2I0yvlFM
247,917600187,False,finalized,3,3/27/2016 17:27:42,affected_people,0.7140000000000001,,'460520416377708545',3rd #case of MRS confirm... http://t.co/x4IxxEQVER #MERS #Prevention
248,917601209,False,finalized,3,3/27/2016 22:00:14,affected_people,0.6346,,'460658067462692864',"Great. Out of everywhere in the U.S, Indianapolis has the 1st possible case of a disease called MERS. #stayinginside Ã°Å¸â¢â¦Ã°Å¸â¢â¦"
249,917600948,False,finalized,3,3/27/2016 19:34:42,affected_people,1.0,,'460586614574837760',MYSTERIOUS DISEASE  CDC confirms first case of MERS virus in an American: VIDEO: CDC announces the first case ... http://t.co/886LJl2ogl
255,917600122,False,finalized,5,3/27/2016 12:25:42,affected_people,0.8145,,'460512935651991552',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/fkw2Svs2vH
256,917600004,False,finalized,3,3/27/2016 12:45:13,affected_people,1.0,,'460493257643159554',"RT @PzFeed: Patient in Florida confirmed as 2nd imported U.S. case of MERS, Centers for Disease Control and Prevention says - @BNONews"
257,917601315,False,finalized,3,3/27/2016 21:19:24,affected_people,1.0,,'460673946988183552',"Newest US #MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... http://t.co/ujDFNcwXgW"
266,917601028,False,finalized,3,3/27/2016 20:06:43,affected_people,0.6857,,'460601811481923584',First Case of Deadly Middle Eastern Virus Found in U.S.: The Centers for Disease Control has confirmed that... http://t.co/so5HcEEnAf RT
267,917600390,False,finalized,4,3/27/2016 12:21:40,affected_people,1.0,,'460557793779408896',RT @AlBoeNEWS: EARLIER: The Centers for Disease Control and Prevention confirms first case of MERS virus in U.S. https://t.co/6CB3NNbmt8
269,917600704,False,finalized,3,3/27/2016 20:35:19,affected_people,1.0,,'460576987854020609',RT @kkelland: Saudi Arabia finds another 18 #MERS cases as disease spreads http://t.co/euWJSKtDsj via @reuters
271,917600820,False,finalized,3,3/27/2016 20:27:29,affected_people,0.6389,,'460580820583845889',Centers for Disease Control confirms first U.S. case of deadly MERS virus http://t.co/Xo28ABUyoi
273,917600647,False,finalized,3,3/28/2016 00:36:15,affected_people,1.0,,'460575719987642369',CDC Confirms First US Case of MERS Coronavirus in Indiana Patient -  Centers for Disease Control and... http://t.co/p2lXUcIkwY  #SaudiArabia
274,917599640,False,finalized,4,3/27/2016 10:07:49,affected_people,0.7778,,'460439235154030592',"RT @PzFeed: Patient in Florida confirmed as 2nd imported U.S. case of MERS, Centers for Disease Control and Prevention says - @BNONews"
277,917600761,False,finalized,3,3/27/2016 21:24:09,affected_people,1.0,,'460577932918800384',First Case of Deadly Middle Eastern Virus Found in U.S.: The Center for Disease Control has confirmed that a c... http://t.co/EmjaFyT81G
279,917599870,False,finalized,4,3/27/2016 13:04:07,affected_people,0.532,,'460469014842867713',"MT @AP: MORE: Of the confirmed MERS cases, the official Saudi Press Agency says 53 are still receiving treatment: http://t.co/CKowLn7OiG"
280,917600909,False,finalized,3,3/27/2016 21:02:40,affected_people,1.0,,'460584769093251073',Saudi Arabia Finds Another 32 MERS Cases as Disease Spreads: Saudi Arabia said on Thursday it had identified 3... http://t.co/fxQ7oRfec3
281,917601178,False,finalized,3,3/27/2016 21:00:32,affected_people,0.6875,,'460649292189822977',2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/VwXicQg6Oz #technews
288,917600166,False,finalized,4,3/27/2016 12:53:40,affected_people,1.0,,'460517034284306434',"""CDC: #MERS virus spread in US but 2nd man not sick"" 3rd US case. http://t.co/maoiKytoC4 Handshake? Possible to have virus without symptoms."
290,917600102,False,finalized,6,3/27/2016 12:53:40,affected_people,0.6713,,'460510648355786752',2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/y4xcHUeJFQ #itc4 #m4 #tech24
291,917600422,False,finalized,3,3/27/2016 17:25:42,affected_people,1.0,,'460561339321040897',CDC Confirms First US Case of MERS Coronavirus in Indiana Patient -  Centers for Disease Control and... http://t.co/d6lBB4nc3N  #SaudiArabia
292,917599782,False,finalized,3,3/27/2016 10:34:41,affected_people,0.6677,,'460461744994131968',MERS RT @OperationFollow: #TeamFollowBack 2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/z1Drh1DADX
293,917600505,False,finalized,4,3/27/2016 12:55:42,affected_people,1.0,,'460562912034037762',#DmEdiison_21 First Case of Deadly Middle Eastern Virus Found in U.S.: The Centers for Disease C... http://t.co/i9s8fYtj3N @DmEdiison_21
300,917601179,False,finalized,3,3/27/2016 19:59:53,affected_people,1.0,,'460649596260085760',2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/YjA6c17HqR
304,917600448,False,finalized,3,3/27/2016 12:54:55,affected_people,0.6829,,'460561872500948992',RT @STcom: RT @STForeignDesk: Saudi Arabia finds another 18 Mers cases as disease spreads  http://t.co/TLVb4KSZOd
308,917601055,False,finalized,3,3/27/2016 23:48:10,affected_people,1.0,,'460610384362471424',CDC Confirms First US Case of MERS Coronavirus in Indiana Patient -  Centers for Disease Control and... http://t.co/d6lBB4nc3N  #SaudiArabia
309,917601079,False,finalized,3,3/27/2016 21:53:07,affected_people,1.0,,'460620259738005504',RT @CBCAlerts: Centers for Disease Control reports first case of #MERS in the United States. #CDC
310,917600742,False,finalized,3,3/27/2016 21:08:57,affected_people,0.6543,,'460577734901522432',Centers for Disease Control confirms first U.S. case of deadly MERS virus .. ProgressiveBlogs http://t.co/eEQNUgSw5D
311,917601042,False,finalized,3,3/27/2016 20:06:43,affected_people,1.0,,'460605635932217344',RT @mnt_diseases: CDC announces first case of Middle East Respiratory Syndrome Coronavirus infection (MERS) in the United States http://t.cÃ¢â¬Â¦
313,917600759,False,finalized,3,3/27/2016 22:36:21,affected_people,1.0,,'460577921111834624',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/Qy6uOCyXmR
317,917601112,False,finalized,3,3/27/2016 22:48:52,affected_people,1.0,,'460630295281008640',Saudi Arabia finds another 32 MERS cases as disease spreads - RIYADH (Reuters) - Saudi Arabia said on Thursday it ... http://t.co/vcQUd3l6z9
319,917600899,False,finalized,3,3/27/2016 19:26:01,affected_people,1.0,,'460584517191737345',RT @HeyTammyBruce: Now 2 US hospital workers w MERS symptoms after we let in Saudi w virus. Time for Fed to limit travel from ME to US untiÃ¢â¬Â¦
327,917599915,False,finalized,3,3/27/2016 17:25:42,affected_people,0.6783,,'460476787051737088',Media: #Virology expert can talk about 1st reported case of #MERS in the US. http://t.co/rS5yaaf5Y0 #disease http://t.co/RtOZZzOz89
331,917600065,False,finalized,4,3/27/2016 17:08:30,affected_people,0.5098,,'460504822123614210',RT @modrnhealthcr: Fla. MERS patient out of hospital; first U.S. transmission reported http://t.co/b4O7Idt6CR
337,917600087,False,finalized,3,3/27/2016 12:34:08,affected_people,0.6749,,'460508721609990145',"@_EstebanMinaya Saudis Question Mecca Preparedness as MERS Spreads: As MERS virus spreads, Saudis question Mec... http://t.co/NtUUj6dhnA"
338,917599520,False,finalized,4,3/27/2016 16:36:42,affected_people,0.4988,,'460422874504130560',"Newest US MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... http://t.co/qXMau8zDbT"
344,917599610,False,finalized,6,3/27/2016 17:34:15,affected_people,0.8434,,'460435301228228609',"RT @PzFeed: Patient in Florida confirmed as 2nd imported U.S. case of MERS, Centers for Disease Control and Prevention says - @BNONews"
349,917599432,False,finalized,3,3/27/2016 10:29:38,affected_people,0.648,,'460408909317304320',"#LatestNews Person who has contact with Indiana MERS patient positive for virus, but few symptoms: Alex CukanA...  http://t.co/X4sNKIcBEP"
352,917600565,False,finalized,3,3/27/2016 20:04:33,affected_people,0.6657,,'460564646533943296',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/uylsz8HRUE
353,917600693,False,finalized,3,3/27/2016 18:57:17,affected_people,1.0,,'460576805213462528',CDC: First Case of Potentially Deadly MERS Disease in the U.S. http://t.co/qCNJhVb1bX
358,917599678,False,finalized,3,3/27/2016 09:20:47,affected_people,0.6531,,'460447319142322177',RT @HelenBranswell: With &gt;800 cases (&amp; +700 in #KSA alone) it's hard to fathom why studies designed to show best treatment for #MERS cases Ã¢â¬Â¦
362,917600451,False,finalized,3,3/27/2016 12:25:19,affected_people,0.6667,,'460561905812123648',"RT @Laurie_Garrett: First USA #MERS case: Health worker in Riyadh, flew London/Chicago 4/24 then bus to Indiana. @CDC says Symptoms 4/27, hÃ¢â¬Â¦"
363,917599710,False,finalized,3,3/27/2016 09:42:55,affected_people,1.0,,'460450144086142976',"Second U.S. case of MERS virus found in Florida, CDC says: Centers for Disease Control believes this case, lik... http://t.co/jdccYk4lmQ"
366,917600221,False,finalized,4,3/27/2016 12:26:52,affected_people,0.7647,,'460523637335142400',"RT @GottaLaff: CNN breaking: 1st US case of MERS-CoV reportd in Indiana, per Centers for Disease Control &amp; Prevention ( Mid East RespiratryÃ¢â¬Â¦"
369,917600164,False,finalized,3,3/27/2016 16:57:58,affected_people,0.6581,,'460516476907433985',#WebDesigning 2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/8WnCuiuR7s
371,917599541,False,finalized,4,3/27/2016 10:07:49,affected_people,0.5185,,'460427326501945344',So apparently there's a case of MERS in the Eastern USA...  ... Which is a contagious middle eastern disease with a 1/3 mortality rate. O_O
373,917599398,False,finalized,3,3/27/2016 10:34:41,affected_people,0.6677,,'460405815367589888',#01Molleto 2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/EKfJccrRZ1 #HerreraTeamSwagga
374,917601059,False,finalized,3,3/27/2016 20:44:59,affected_people,0.6818,,'460612102260920320',Official: US MERS patient&amp;#039;s first symptoms preceded travel http://t.co/byCHFLhrlS
375,917601173,False,finalized,3,3/27/2016 20:24:54,affected_people,1.0,,'460646883723997184',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/LlGa9nAVYF
379,917599823,False,finalized,3,3/27/2016 10:49:55,affected_people,1.0,,'460464890189459457',First Case of Deadly Middle Eastern Virus Found in U.S.: The Center for Disease Control has confirmed that a c... http://t.co/vtHWigY7zl
382,917600834,False,finalized,3,3/27/2016 19:26:01,affected_people,1.0,,'460582255681757184',Saudi Arabia Finds Another 32 MERS Cases as Disease Spreads: Saudi Arabia said on Thursday it had identified 3... http://t.co/Z5zuPMANpM
385,917599841,False,finalized,3,3/27/2016 17:11:17,affected_people,0.6866,,'460465560636383232',First Case of Deadly Middle Eastern Virus Found in U.S.: The Center for Disease Control has confirmed that a c... http://t.co/wfpCuLfu1i
393,917599843,False,finalized,4,3/27/2016 12:52:06,affected_people,1.0,,'460465585403752448',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/rG1C4R3gEP
398,917600289,False,finalized,3,3/27/2016 12:43:34,affected_people,0.6904,,'460535768474062848',RT @CBCTheNational: WATCH: A Canadian doctor is being monitored for symptoms of the deadly MERS virus. http://t.co/sqQRwgST4j
401,917600520,False,finalized,5,3/27/2016 12:21:40,affected_people,1.0,,'460563129181560832',Check out this CEO: MYSTERIOUS DISEASE CDC confirms first case of MERS virus in an American http://t.co/CXwdW5uCUI
411,917600382,False,finalized,5,3/27/2016 13:04:24,affected_people,0.4199,,'460554826783264769',RT @DiseaseSymptom: Middle East Respiratory Syndrome (MERS) Spreads From Saudi Arabia to Europe: No Cure or Vaccine So Far. - http://t.co/cÃ¢â¬Â¦
